2020-02-23 16:11:36.204  INFO 12448 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2020-02-23 16:14:47.073  INFO 12448 --- [Thread-9] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-02-23 16:14:47.074  INFO 12448 --- [Thread-9] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Shutdown initiated...
2020-02-23 16:14:47.105  INFO 12448 --- [Thread-9] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Shutdown completed.
2020-02-23 16:14:47.491  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Starting CommunityApplication on DESKTOP-70V9PG4 with PID 12448 (G:\community\target\classes started by 无极之道 in G:\community)
2020-02-23 16:14:47.494  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : No active profile set, falling back to default profiles: default
2020-02-23 16:14:47.739  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-02-23 16:14:47.740  INFO 12448 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-23 16:14:47.740  INFO 12448 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-23 16:14:47.762  INFO 12448 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-23 16:14:47.762  INFO 12448 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 266 ms
2020-02-23 16:14:47.772  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-3 - Starting...
2020-02-23 16:14:47.781  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-3 - Start completed.
2020-02-23 16:14:47.781  INFO 12448 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/community'
2020-02-23 16:14:47.890  INFO 12448 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-23 16:14:47.899  INFO 12448 --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2020-02-23 16:14:47.987  INFO 12448 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2020-02-23 16:14:47.998  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-02-23 16:14:47.999  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Started CommunityApplication in 0.528 seconds (JVM running for 362.301)
2020-02-23 16:14:48.000  INFO 12448 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2020-02-23 16:21:15.029  INFO 12448 --- [Thread-14] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-02-23 16:21:15.030  INFO 12448 --- [Thread-14] com.zaxxer.hikari.HikariDataSource       : HikariPool-3 - Shutdown initiated...
2020-02-23 16:21:15.053  INFO 12448 --- [Thread-14] com.zaxxer.hikari.HikariDataSource       : HikariPool-3 - Shutdown completed.
2020-02-23 16:21:15.471  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Starting CommunityApplication on DESKTOP-70V9PG4 with PID 12448 (G:\community\target\classes started by 无极之道 in G:\community)
2020-02-23 16:21:15.472  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : No active profile set, falling back to default profiles: default
2020-02-23 16:21:15.678  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-02-23 16:21:15.679  INFO 12448 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-23 16:21:15.679  INFO 12448 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-23 16:21:15.704  INFO 12448 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-23 16:21:15.704  INFO 12448 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 230 ms
2020-02-23 16:21:15.713  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-4 - Starting...
2020-02-23 16:21:15.722  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-4 - Start completed.
2020-02-23 16:21:15.722  INFO 12448 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/community'
2020-02-23 16:21:15.855  INFO 12448 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-23 16:21:15.865  INFO 12448 --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2020-02-23 16:21:15.962  INFO 12448 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2020-02-23 16:21:15.975  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-02-23 16:21:15.976  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Started CommunityApplication in 0.524 seconds (JVM running for 750.279)
2020-02-23 16:21:15.977  INFO 12448 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2020-02-23 16:21:29.364  INFO 12448 --- [Thread-19] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-02-23 16:21:29.365  INFO 12448 --- [Thread-19] com.zaxxer.hikari.HikariDataSource       : HikariPool-4 - Shutdown initiated...
2020-02-23 16:21:29.390  INFO 12448 --- [Thread-19] com.zaxxer.hikari.HikariDataSource       : HikariPool-4 - Shutdown completed.
2020-02-23 16:21:29.786  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Starting CommunityApplication on DESKTOP-70V9PG4 with PID 12448 (G:\community\target\classes started by 无极之道 in G:\community)
2020-02-23 16:21:29.787  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : No active profile set, falling back to default profiles: default
